run,layer,Latitude_End,Longitude_End,MAG,RPKM
ERR1701760,DCM,18.5679,66.4581,MS024.2A_sp5,0.00507008
ERR315859,DCM,42.1659,17.7285,MS024.2A_sp5,0.382168285
ERR315860,DCM,42.1659,17.7285,MS024.2A_sp5,0.384777399
ERR318618,DCM,33.93,32.7322,MS024.2A_sp5,2.813861921
ERR318619,DCM,33.93,32.7322,MS024.2A_sp5,3.077335835
ERR318620,DCM,33.93,32.7322,MS024.2A_sp5,2.773483416
ERR318621,DCM,33.93,32.7322,MS024.2A_sp5,3.070462732
ERR3589553,DCM,78.9332,79.0913,MS024.2A_sp5,0.114265235
ERR3589564,DCM,67.18,0.4881,MS024.2A_sp5,0.06285485
ERR3589565,DCM,72.5971,44.1735,MS024.2A_sp5,0.195783899
ERR3589569,DCM,78.0015,116.4698,MS024.2A_sp5,0.100205311
ERR3589571,DCM,73.3091,-168.9031,MS024.2A_sp5,0.115719086
ERR3589572,DCM,74.335,-85.5414,MS024.2A_sp5,0.120645141
ERR3589578,DCM,74.8283,76.2096,MS024.2A_sp5,0.112499612
ERR3589579,DCM,78.3396,91.6416,MS024.2A_sp5,0.134299887
ERR3589583,DCM,54.525,-16.689,MS024.2A_sp5,0.048745725
ERR598942,DCM,35.4118,-127.7122,MS024.2A_sp5,0.057094323
ERR598948,DCM,-8.9632,-139.2276,MS024.2A_sp5,0.01104793
ERR598949,DCM,19.0108,64.532,MS024.2A_sp5,0.014813878
ERR598950,DCM,35.5571,-6.5586,MS024.2A_sp5,0.069470468
ERR598952,DCM,2.0663,-84.5304,MS024.2A_sp5,0.032998218
ERR598957,DCM,-23.1569,-129.5943,MS024.2A_sp5,0.096503864
ERR598961,DCM,-16.9687,-100.7324,MS024.2A_sp5,0.024740692
ERR598962,DCM,-5.2476,-85.3343,MS024.2A_sp5,0.040507108
ERR598965,DCM,-33.832,-73.0366,MS024.2A_sp5,0.171539225
ERR598972,DCM,-29.5123,37.8586,MS024.2A_sp5,0.011863448
ERR598974,DCM,20.8199,63.5138,MS024.2A_sp5,0.023789649
ERR598975,DCM,18.49,39.8483,MS024.2A_sp5,0.004208043
ERR598977,DCM,14.5375,70.0244,MS024.2A_sp5,0.011553291
ERR598982,DCM,-34.8477,18.1136,MS024.2A_sp5,0.03470389
ERR598986,DCM,36.2108,-28.7989,MS024.2A_sp5,0.039706955
ERR598987,DCM,14.2016,-116.696,MS024.2A_sp5,0.00467271
ERR598990,DCM,-35.2528,26.317,MS024.2A_sp5,0.063622511
ERR598995,DCM,31.4813,-159.088,MS024.2A_sp5,0.01778764
ERR598996,DCM,35.7956,-37.0998,MS024.2A_sp5,0.045603694
ERR599002,DCM,-16.9675,53.9199,MS024.2A_sp5,0.020454431
ERR599007,DCM,-5.2476,-85.3343,MS024.2A_sp5,0.044055901
ERR599013,DCM,5.9997,73.914,MS024.2A_sp5,0.009361988
ERR599014,DCM,-1.8505,-84.6318,MS024.2A_sp5,0.046110491
ERR599016,DCM,-16.9675,53.9199,MS024.2A_sp5,0.019251486
ERR599017,DCM,-31.0136,4.6932,MS024.2A_sp5,0.011098697
ERR599018,DCM,-35.2528,26.317,MS024.2A_sp5,0.061410563
ERR599023,DCM,-29.5123,37.8586,MS024.2A_sp5,0.011481776
ERR599025,DCM,-29.5123,37.8586,MS024.2A_sp5,0.008932538
ERR599026,DCM,-17.5656,42.1988,MS024.2A_sp5,0.02051168
ERR599027,DCM,-47.1208,-57.8265,MS024.2A_sp5,0.090286312
ERR599032,DCM,0.0328,-153.705,MS024.2A_sp5,0.021827138
ERR599040,DCM,-21.0675,-35.3923,MS024.2A_sp5,0.01219862
ERR599042,DCM,-25.859,-111.6989,MS024.2A_sp5,0.033346051
ERR599046,DCM,-30.1495,-43.2486,MS024.2A_sp5,0.017713709
ERR599053,DCM,14.5375,70.0244,MS024.2A_sp5,0.01101454
ERR599056,DCM,-31.0136,4.6932,MS024.2A_sp5,0.017158801
ERR599061,DCM,23.4217,37.2517,MS024.2A_sp5,0.009200115
ERR599065,DCM,2.0663,-84.5304,MS024.2A_sp5,0.035206303
ERR599070,DCM,14.2016,-116.696,MS024.2A_sp5,0.004897093
ERR599073,DCM,35.7593,14.3453,MS024.2A_sp5,1.150028259
ERR599079,DCM,-25.859,-111.6989,MS024.2A_sp5,0.036018716
ERR599081,DCM,-12.9226,-96.0932,MS024.2A_sp5,0.023824355
ERR599082,DCM,19.0108,64.532,MS024.2A_sp5,0.014486528
ERR599087,DCM,6.3354,-103.0345,MS024.2A_sp5,0.01823779
ERR599092,DCM,35.7593,14.3453,MS024.2A_sp5,1.168336514
ERR599094,DCM,39.3757,19.4167,MS024.2A_sp5,0.519580466
