MAG,Genus,Tara_sample,layer,Latitude,Longitude,Region,Depth,Oxygen,Salinity,Temperature,Chlorophyll_a,Nitrite,Phosphate,Nitrate_nitrite,Silicate,RPKM
MS024-2A_sp5,NS5_D,ERR599153,DCM,39.3757,19.4167,Mediterranean,50,188.416583,39.74725,25.824383,NA,0.1055,NA,0.3595,1.354,0.517895079
MS024-2A_sp5,NS5_D,ERR599140,Surface,35.7392,14.3321,Mediterranean,5,197.682417,35.181842,25.173925,0.16,0.01833,0.0256,0.118,0.5571,1.110285619
MS024-2A_sp5,NS5_D,ERR599094,DCM,39.3757,19.4167,Mediterranean,50,38.115125,34.580675,7.212238,NA,0.1055,NA,0.3595,1.354,0.519580466
MS024-2A_sp5,NS5_D,ERR599092,DCM,35.7593,14.3453,Mediterranean,60,229.547682,38.475705,15.161277,0.2052,0.0263,0.0131,0.038,0.58135,1.168336514
MS024-2A_sp5,NS5_D,ERR599073,DCM,35.7593,14.3453,Mediterranean,60,189.25475,34.56155,29.980283,0.2052,0.0263,0.0131,0.038,0.58135,1.150028259
MS024-2A_sp5,NS5_D,ERR599043,Surface,39.3599,19.4084,Mediterranean,5,185.243833,35.091133,30.496383,NA,0.00425,0.00525,0.03525,1.0505,0.696434686
MS024-2A_sp5,NS5_D,ERR599024,Surface,-21.1556,-104.8217,South Pacific Ocean,5,207.446227,35.335545,22.250309,0.0094,0.006,0.2975,0.0315,0.558,0.37054903
MS024-2A_sp5,NS5_D,ERR598993,Surface,35.7392,14.3321,Mediterranean,5,249.351417,34.845292,12.83445,0.16,0.01833,0.0256,0.118,0.5571,1.090278101
MS024-2A_sp5,NS5_D,ERR598969,Surface,34.835,34.8033,Mediterranean,5,210.00775,35.334717,22.165567,0.08825,0.00925,0.01225,0.036,0.8825,0.702711955
MS024-2A_sp5,NS5_D,ERR598967,Surface,-29.6749,-101.2137,South Pacific Ocean,5,214.365,36.4626,19.1288,NA,0,0.1575,NA,0.5305,0.480906178
MS024-2A_sp5,NS5_D,ERR598954,Surface,-23.24,-129.4851,South Pacific Ocean,5,NA,36.6324,20.5251,0.01225,0.0075,0.14225,0.02525,0.7425,0.323749778
MS024-2A_sp5,NS5_D,ERR598951,Surface,39.3599,19.4084,Mediterranean,5,203.127654,34.344808,26.532035,NA,0.00425,0.00525,0.03525,1.0505,0.688392184
